name,abbreviation,code,median_household_income,share_unemployed_seasonal,share_population_in_metro_areas,share_population_with_high_school_degree
Alabama,Ala.,AL,42278,0.06,0.64,0.821
Alaska,Alaska,AK,67629,0.064,0.63,0.914
Arizona,Ariz.,AZ,49254,0.063,0.9,0.842
Arkansas,Ark.,AR,44922,0.052,0.69,0.824
California,Calif.,CA,60487,0.059,0.97,0.806
Colorado,Colo.,CO,60940,0.04,0.8,0.893
Connecticut,Conn.,CT,70161,0.052,0.94,0.886
Delaware,Del.,DE,57522,0.049,0.9,0.874
District of Columbia,D.C.,DC,68277,0.067,1,0.871
Florida,Fla.,FL,46140,0.052,0.96,0.853
Georgia,Ga.,GA,49555,0.058,0.82,0.839
Hawaii,Hawaii,HI,71223,0.034,0.76,0.904
Idaho,Idaho,ID,53438,0.042,0.7,0.884
Illinois,Ill.,IL,54916,0.054,0.9,0.864
Indiana,Ind.,IN,48060,0.044,0.79,0.866
Iowa,Iowa,IA,57810,0.036,0.6,0.914
Kansas,Kans.,KS,53444,0.044,0.64,0.897
Kentucky,Ky.,KY,42786,0.05,0.56,0.817
Louisiana,La.,LA,42406,0.06,0.81,0.822
Maine,Maine,ME,51710,0.044,0.54,0.902
Maryland,Md.,MD,76165,0.051,0.97,0.89
Massachusetts,Mass.,MA,63151,0.046,0.97,0.89
Michigan,Mich.,MI,52005,0.05,0.87,0.879
Minnesota,Minn.,MN,67244,0.038,0.75,0.915
Mississippi,Miss.,MS,35521,0.061,0.45,0.804
Missouri,Mo.,MO,56630,0.053,0.78,0.868
Montana,Mont.,MT,51102,0.041,0.34,0.908
Nebraska,Nebr.,NE,56870,0.029,0.6,0.898
Nevada,Nev.,NV,49875,0.067,0.87,0.839
New Hampshire,N.H.,NH,73397,0.034,0.63,0.913
New Jersey,N.J.,NJ,65243,0.056,1,0.874
New Mexico,N.M.,NM,46686,0.068,0.69,0.828
New York,N.Y.,NY,54310,0.051,0.94,0.847
North Carolina,N.C.,NC,46784,0.058,0.76,0.843
North Dakota,N.D.,ND,60730,0.028,0.5,0.901
Ohio,Ohio,OH,49644,0.045,0.75,0.876
Oklahoma,Okla.,OK,47199,0.044,0.59,0.856
Oregon,Ore.,OR,58875,0.062,0.87,0.891
Pennsylvania,Pa.,PA,55173,0.053,0.87,0.879
Rhode Island,R.I.,RI,58633,0.054,1,0.847
South Carolina,S.C.,SC,44929,0.057,0.79,0.836
South Dakota,S.D.,SD,53053,0.035,0.51,0.899
Tennessee,Tenn.,TN,43716,0.057,0.82,0.831
Texas,Tex.,TX,53875,0.042,0.92,0.799
Utah,Utah,UT,63383,0.036,0.82,0.904
Vermont,Vt.,VT,60708,0.037,0.35,0.91
Virginia,Va.,VA,66155,0.043,0.89,0.866
Washington,Wash.,WA,59068,0.052,0.86,0.897
West Virginia,W.Va.,WV,39552,0.073,0.55,0.828
Wisconsin,Wis.,WI,58080,0.043,0.69,0.898
Wyoming,Wyo.,WY,55690,0.04,0.31,0.918
